"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-Feb-2024"
"NIFTY 50","22,963.65","22,992.50","22,801.50","22,959.50","22,945.30","-","-14.20","-0.06","21,06,16,641","19,431.22","26,277.35","21,281.45","-1.05","4.17"
"NTPC","301.15","312.40","297.50","302.35","312.00","-","9.65","3.19","1,57,93,327","484.32","448.45","292.80","-7.30","-10.48"
"TECHM","1,668.00","1,708.95","1,664.05","1,664.95","1,701.00","-","36.05","2.17","26,54,132","448.73","1,807.70","1,162.95","0.28","27.82"
"WIPRO","305.35","312.75","305.35","305.35","311.50","-","6.15","2.01","1,03,68,789","320.60","324.60","208.50","8.30","-43.77"
"ONGC","232.20","237.15","229.55","233.65","236.00","-","2.35","1.01","61,70,974","144.51","345.00","223.00","-12.35","-14.94"
"APOLLOHOSP","6,320.00","6,390.00","6,320.00","6,300.20","6,358.00","-","57.80","0.92","2,20,118","140.12","7,545.35","5,693.20","-7.73","-4.55"
"POWERGRID","263.85","267.90","260.20","263.20","265.55","-","2.35","0.89","1,04,83,635","277.31","366.25","252.20","-13.02","-4.13"
"HCLTECH","1,706.00","1,728.50","1,701.25","1,709.90","1,725.00","-","15.10","0.88","15,11,900","259.93","2,012.20","1,235.00","-4.42","2.55"
"KOTAKBANK","1,942.05","1,966.00","1,939.15","1,945.30","1,962.25","-","16.95","0.87","43,44,125","848.95","1,992.80","1,543.85","10.62","12.10"
"CIPLA","1,474.65","1,483.85","1,466.10","1,474.65","1,482.00","-","7.35","0.50","9,67,394","142.75","1,702.05","1,317.25","2.24","2.36"
"HDFCBANK","1,713.05","1,731.55","1,706.15","1,717.35","1,723.00","-","5.65","0.33","81,75,455","1,407.06","1,880.00","1,397.30","4.92","20.95"
"INFY","1,842.30","1,861.65","1,837.60","1,842.30","1,848.00","-","5.70","0.31","43,65,260","807.05","2,006.45","1,358.35","1.48","8.27"
"BAJFINANCE","8,430.00","8,480.00","8,360.70","8,426.60","8,450.00","-","23.40","0.28","8,68,977","733.06","8,662.80","6,187.80","17.33","27.31"
"TATACONSUM","1,019.10","1,027.95","1,018.55","1,023.25","1,025.45","-","2.20","0.22","7,89,808","80.88","1,256.44","882.90","7.21","-10.82"
"JSWSTEEL","975.00","981.20","962.80","973.55","975.60","-","2.05","0.21","18,00,070","175.25","1,063.00","761.75","7.15","18.73"
"SHRIRAMFIN","550.95","554.45","539.10","550.35","551.50","-","1.15","0.21","29,88,732","163.80","730.45","438.60","4.53","-77.53"
